Dport,DstAddr,TotBytes
0,21,86.0
0,22,229.33333333333334
0,23,188.6237113402062
0,25,255.75782155272307
0,42,125.0
0,57,258.0
0,71,383.4015215553677
0,72,306.1792588336685
0,73,78.0
0,75,93.55217831813576
0,81,86.0
0,82,86.0
0,84,86.0
0,85,86.0
0,86,86.0
0,87,86.0
0,88,86.0
0,89,86.0
0,90,78.0
0,91,78.0
0,92,78.0
0,93,78.0
0,94,78.0
0,95,80.0
0,97,78.0
0,98,86.0
0,99,78.0
0,101,78.0
0,102,82.0
0,105,78.0
4,14,240.43243243243242
4,21,231.53333333333333
4,22,202.41724137931035
4,29,242.7029702970297
67,70,488.57969987002247
80,120,3558.1111111111113
80,126,3501980.8
80,127,3057242.3333333335
80,131,2794670.5
80,133,1546.0
80,134,2296.0
80,135,766.0
80,140,124.0
80,141,1598.0
80,143,1120.0
80,144,2296.0
80,145,1021.0
80,148,1133.0
135,11,602.6317228805834
135,22,886.8780658724597
135,123,1783.148148148148
137,0,276.0
137,1,276.0
137,2,276.0
137,3,276.0
137,4,276.0
137,5,276.0
137,26,582.0
137,41,276.0
137,45,276.0
137,51,276.0
137,56,474.0
137,59,276.0
137,62,276.0
137,69,2061.116696490021
137,80,276.0
137,83,569.8554778554778
137,96,238.66666666666666
137,104,1150.5
138,69,246.07225258044932
138,83,310.9110320284698
138,104,1024.0
251,26,261.0
256,0,120.0
256,1,120.0
256,2,120.0
256,3,120.10231425091352
256,4,120.0
256,5,120.0
256,6,120.13641900121803
256,8,120.0
256,46,120.0
256,47,120.0
256,48,120.0
256,49,120.0
256,100,120.0
443,6,5513.96458704479
443,124,396.0
443,125,166274.9090909091
443,128,68950.25
443,129,100963.41176470589
443,130,209829.5
443,132,238381.6
443,136,124578.4
443,137,132033.5
443,142,237907.2
443,146,17640.0
443,147,296129.0
449,7,261.0
461,9,160.0
490,7,261.0
512,0,120.0
512,1,120.0
512,2,120.0
512,3,120.0
512,4,120.0
512,5,120.0
512,6,120.0
512,8,120.0
512,46,120.0
512,47,120.0
512,48,120.0
512,49,120.0
512,100,120.0
547,76,226.15795359239587
719,9,260.0
965,11,260.0
1252,26,261.0
1256,11,260.0
1332,6,774.843591267394
1332,9,1546.1064220183487
1332,11,755.5830403309204
1762,7,167.0
1786,11,260.0
1900,77,2030.5249337309476
1900,103,282.6
1947,69,82.0
1947,70,82.0
1996,26,261.0
2018,11,260.0
2031,9,160.0
2222,0,49503.03870162297
2222,1,50853.43251065012
2222,2,58688.706210547025
2222,3,84859.39985380117
2222,4,48899.699096964
2222,5,58608.58340483341
2222,63,49006.89803775103
2222,64,49064.87010297417
2222,65,49067.924001840984
2222,66,49067.907087791966
2222,67,49045.61272141707
2222,68,49064.881378358165
2499,11,260.0
2558,26,261.0
2559,26,169.0
3021,26,169.0
3285,7,261.0
3389,6,13801.901960784313
3529,11,260.0
3569,9,160.0
3702,77,4947.6
3702,103,5245.538461538462
3814,9,160.0
3852,3,196.0
3956,70,60.0
4064,7,167.0
4241,6,11812.141216840439
4289,26,261.0
4331,9,260.0
4567,9,260.0
5001,117,5651.026399155227
5027,6,168412.82400770302
5028,6,34620.02754590985
5030,6,27574.464385086256
5031,6,48807.157719054245
5105,11,260.0
5120,8,4448.0
5142,6,196.0
5336,11,168.0
5353,44,143.0
5353,74,472.07029848311856
5353,78,263.0913580246914
5355,79,115.3384549722578
5355,80,92.3908739264407
5357,139,8290.0
5450,6,32013.852813679056
5838,11,260.0
5885,26,261.0
6001,119,10456052.0
6096,11,260.0
6116,7,261.0
6133,9,160.0
6343,9,160.0
6355,9,160.0
6370,11,260.0
6543,6,2137.210139524976
6556,119,2802.8533333333335
6608,11,260.0
6855,11,260.0
6891,9,160.0
6895,26,261.0
7399,7,167.0
7876,26,169.0
7925,9,160.0
8080,106,1845.428286099865
8191,26,261.0
8646,7,134.0
8905,26,169.0
8913,26,261.0
9111,6,11832.455853240068
9447,9,160.0
9720,7,261.0
9923,7,261.0
9954,7,261.0
9965,11,160.0
10987,9,260.0
11258,7,261.0
11480,26,169.0
11714,11,260.0
12240,26,261.0
12246,11,160.0
12253,9,160.0
13009,9,160.0
13052,26,261.0
13557,9,160.0
14027,26,261.0
14032,7,261.0
14845,11,260.0
15000,70,92.0
15044,11,260.0
15093,9,160.0
15336,26,261.0
15600,26,261.0
16122,26,261.0
16125,26,261.0
16370,9,168.0
16584,11,260.0
16608,26,261.0
16858,9,160.0
17091,26,169.0
17379,9,260.0
17500,69,276.13793103448273
17500,70,522.1837837837838
17500,83,224.75
17500,96,222.0
17500,104,381.0
17627,26,169.0
17874,11,260.0
17881,7,261.0
17941,6,26543.26445459964
18120,9,260.0
