StartTime,LastTime,dMeanPktSz
1624539887.494434,1624539887.494434,0.0
1624539888.977386,1624539888.977386,0.0
1624539891.102748,1624539891.102748,0.0
1624539893.301739,1624539893.301739,0.0
1624539895.500638,1624539895.500638,0.0
1624539897.050343,1624539897.050343,0.0
1624539899.177209,1624539899.177209,0.0
1624539901.103511,1624539901.103511,0.0
1624539903.49915,1624539903.49915,0.0
1624539905.053882,1624539905.053882,0.0
1624539909.493908,1624539909.493908,0.0
1624539911.103117,1624539911.103117,0.0
1624539913.058136,1624539913.058136,0.0
1624539915.019718,1624539915.019718,0.0
1624539917.495554,1624539917.495554,0.0
1624539919.499942,1624539919.499942,0.0
1624539921.062291,1624539921.062291,0.0
1624539923.047842,1624539923.047842,0.0
1624539925.495756,1624539925.495756,0.0
1624539927.495878,1624539927.495878,0.0
1624539929.009158,1624539929.009158,0.0
1624539931.103274,1624539931.103274,0.0
1624539933.491009,1624539935.494286,0.0
1624539937.059381,1624539937.059381,0.0
1624539941.10351,1624539941.10351,0.0
1624539943.210802,1624539943.210802,0.0
1624539945.071449,1624539945.071449,0.0
1624539946.93111,1624539946.93111,0.0
1624539949.247167,1624539949.389387,699.0
1624539949.495988,1624539949.538001,66.0
1624539949.996032,1624539950.060362,713.0
1624539950.021258,1624539950.021394,60.0
1624539950.021572,1624539950.041312,309.666656
1624539950.498921,1624539950.539633,66.0
1624539950.644653,1624539950.644653,0.0
1624539951.067475,1624539951.540122,393.5
1624539951.104723,1624539951.141129,120.5
1624539951.105293,1624539951.128231,111.5
1624539951.109418,1624539951.147085,109.599998
1624539951.113341,1624539951.140509,111.0
1624539951.134629,1624539951.579397,699.0
1624539951.500812,1624539951.54351,66.0
1624539951.540355,1624539951.561949,434.5
1624539951.892749,1624539951.893061,60.0
1624539952.103605,1624539952.10378,0.0
1624539952.198399,1624539952.198586,0.0
1624539952.487058,1624539952.529828,66.0
1624539952.496842,1624539952.496842,0.0
1624539952.576282,1624539952.576421,60.0
1624539952.66477,1624539952.66477,0.0
1624539953.046626,1624539953.046799,0.0
1624539953.076637,1624539953.076637,0.0
1624539953.112575,1624539953.274007,60.0
1624539953.269703,1624539953.430473,699.0
1624539953.273552,1624539953.273557,60.0
1624539953.488073,1624539953.529831,66.0
1624539954.48982,1624539954.532686,66.0
1624539954.68485,1624539954.68485,0.0
1624539955.407758,1624539955.407955,0.0
1624539955.491972,1624539955.53261,66.0
1624539956.103229,1624539956.139556,120.5
1624539956.103667,1624539956.129755,111.5
1624539956.109646,1624539956.145415,109.599998
1624539956.113308,1624539956.14154,111.0
1624539956.493877,1624539956.534534,66.0
1624539956.56647,1624539956.566708,60.0
1624539956.704811,1624539956.704811,0.0
1624539957.494396,1624539957.536682,66.0
1624539957.497015,1624539957.497015,0.0
1624539957.578519,1624539957.578716,60.0
1624539958.419017,1624539958.423941,699.0
1624539958.423411,1624539958.423625,60.0
1624539958.423505,1624539958.423592,60.0
1624539958.450533,1624539958.450653,0.0
1624539958.450668,1624539958.4508,0.0
1624539958.49732,1624539958.539201,66.0
1624539958.724833,1624539958.724833,0.0
1624539958.874123,1624539959.197177,699.0
1624539958.918416,1624539958.922447,96.25
1624539958.918749,1624539958.924683,96.25
1624539958.921447,1624539958.925078,96.25
1624539958.924467,1624539959.254959,2023.153809
1624539959.036297,1624539959.036534,0.0
1624539959.199913,1624539959.200147,0.0
1624539959.400265,1624539959.400487,0.0
1624539959.499313,1624539959.540933,66.0
1624539959.915214,1624539960.251426,393.5
1624539960.04851,1624539960.048748,0.0
1624539960.196497,1624539960.250624,699.0
1624539960.21198,1624539960.226701,434.5
1624539960.485661,1624539960.526376,66.0
1624539960.745007,1624539960.745007,0.0
1624539961.080246,1624539961.080246,0.0
1624539961.101138,1624539961.101341,0.0
1624539961.111879,1624539961.148464,120.5
1624539961.1163,1624539961.137219,111.5
1624539961.117438,1624539961.154942,120.0
1624539961.122039,1624539961.149029,111.0
1624539961.247863,1624539961.289275,60.0
1624539961.44403,1624539961.578503,699.0
1624539961.487229,1624539961.529607,66.0
1624539962.409328,1624539962.409568,0.0
1624539962.463014,1624539962.46651,699.0
1624539962.489377,1624539962.530985,66.0
1624539962.497192,1624539962.497192,0.0
1624539962.765113,1624539962.765113,0.0
1624539962.993055,1624539963.056894,94.947365
1624539962.997236,1624539963.475668,226.333328
1624539963.491284,1624539963.534034,66.0
1624539963.620185,1624539963.620417,60.0
1624539964.363299,1624539964.640379,321.0
1624539964.368718,1624539964.42145,746.0
1624539964.377759,1624539964.601452,379.5
1624539964.493277,1624539964.534869,66.0
1624539964.601532,1624539964.621423,434.5
1624539964.78492,1624539964.78492,0.0
1624539965.494647,1624539965.537003,66.0
1624539965.627987,1624539965.627987,0.0
1624539965.652258,1624539965.655915,699.0
1624539965.668678,1624539965.668678,0.0
1624539966.103671,1624539966.140194,120.5
1624539966.104642,1624539966.130303,111.5
1624539966.117507,1624539966.145514,120.0
1624539966.118917,1624539966.143507,111.0
1624539966.210024,1624539966.210259,0.0
1624539966.496708,1624539966.539137,66.0
1624539966.795139,1624539966.795139,0.0
1624539967.058726,1624539967.058966,0.0
1624539967.407568,1624539967.411494,699.0
1624539967.411624,1624539967.469345,2572.149902
1624539967.497367,1624539967.497367,0.0
1624539967.497955,1624539967.539574,66.0
1624539968.034198,1624539968.170521,967.0
1624539968.091558,1624539968.463529,2196.041748
1624539968.102475,1624539968.102695,0.0
1624539968.42798,1624539968.512333,699.0
1624539968.499639,1624539968.541416,66.0
1624539968.815116,1624539968.815116,0.0
1624539968.875282,1624539969.075492,162.210526
1624539968.87941,1624539968.919388,60.0
1624539968.87991,1624539969.53612,309.600006
1624539969.08585,1624539969.08585,0.0
1624539969.486124,1624539969.526783,66.0
1624539969.922988,1624539969.923455,60.0
1624539970.487827,1624539970.529663,66.0
1624539970.835071,1624539970.835071,0.0
1624539971.103328,1624539971.139723,120.5
1624539971.104964,1624539971.124987,111.5
1624539971.112815,1624539971.1459,120.0
1624539971.116842,1624539971.142448,111.0
1624539971.407607,1624539971.40777,0.0
1624539971.489721,1624539971.531533,66.0
1624539972.492591,1624539972.533347,66.0
1624539972.497577,1624539972.497577,0.0
1624539972.554936,1624539972.571276,699.0
1624539972.855106,1624539972.855106,0.0
1624539973.211411,1624539973.211575,0.0
1624539973.494429,1624539973.53621,66.0
1624539973.588778,1624539973.592477,699.0
1624539974.032946,1624539974.033114,60.0
1624539974.06023,1624539974.060398,0.0
1624539974.496242,1624539974.538121,66.0
1624539974.875206,1624539974.875206,0.0
1624539974.924948,1624539975.046324,60.0
1624539975.046014,1624539975.046243,60.0
1624539975.046758,1624539975.049202,96.25
1624539975.049143,1624539975.100485,297.600006
1624539975.497252,1624539975.540082,66.0
1624539976.050853,1624539976.111592,851.0
1624539976.104489,1624539976.140773,120.5
1624539976.104528,1624539976.129002,111.5
1624539976.109327,1624539976.146545,120.0
1624539976.11399,1624539976.141909,111.0
1624539976.500269,1624539976.542301,66.0
1624539976.885279,1624539976.885279,0.0
1624539977.088361,1624539977.088361,0.0
1624539977.101645,1624539977.101864,0.0
1624539977.487555,1624539977.52932,66.0
1624539977.497759,1624539977.497759,0.0
1624539977.576831,1624539977.634458,699.0
1624539978.40831,1624539978.408532,0.0
1624539978.489312,1624539978.531009,66.0
1624539978.905242,1624539978.905242,0.0
1624539978.912324,1624539979.124394,699.0
1624539979.084341,1624539979.124398,60.0
1624539979.084616,1624539979.090632,96.25
1624539979.087977,1624539979.149244,328.200012
1624539979.491429,1624539979.533164,66.0
1624539980.086611,1624539980.126768,60.0
1624539980.106817,1624539980.110283,699.0
1624539980.493117,1624539980.535083,66.0
1624539980.925426,1624539980.925426,0.0
1624539981.103363,1624539981.139837,120.5
1624539981.10375,1624539981.118918,111.5
1624539981.109363,1624539981.145645,120.0
1624539981.115565,1624539981.138232,111.0
1624539981.495621,1624539981.538578,66.0
1624539982.198138,1624539982.198309,0.0
1624539982.497845,1624539982.539546,66.0
1624539982.497969,1624539982.497969,0.0
1624539982.623172,1624539982.626866,699.0
1624539982.945336,1624539982.945336,0.0
1624539983.048097,1624539983.048279,0.0
1624539983.499673,1624539983.541434,66.0
1624539984.103562,1624539984.103761,0.0
1624539984.111034,1624539984.111141,60.0
1624539984.487704,1624539984.528677,66.0
1624539984.965364,1624539984.965364,0.0
1624539985.090202,1624539985.655767,60.0
1624539985.094155,1624539985.094155,0.0
1624539985.489978,1624539985.530983,66.0
1624539985.652526,1624539985.655886,699.0
1624539985.6554,1624539985.655519,60.0
1624539986.104609,1624539986.14115,120.5
1624539986.105097,1624539986.130397,111.5
1624539986.109532,1624539986.146925,109.599998
1624539986.115142,1624539986.143742,111.0
1624539986.491707,1624539986.533286,66.0
1624539986.97538,1624539986.97538,0.0
1624539987.406889,1624539987.40705,0.0
1624539987.493327,1624539987.536215,66.0
1624539987.498113,1624539987.498113,0.0
1624539987.680624,1624539987.684343,699.0
1624539988.034671,1624539988.040151,96.25
1624539988.037362,1624539988.142988,423.5
1624539988.078693,1624539988.080865,89.0
1624539988.08109,1624539988.14772,294.399994
1624539988.461046,1624539988.461178,0.0
1624539988.461059,1624539988.46122,0.0
1624539988.49649,1624539988.53849,66.0
1624539988.971999,1624539988.972231,0.0
1624539988.995557,1624539988.995557,0.0
1624539989.199822,1624539989.20004,0.0
1624539989.373683,1624539989.421394,321.0
1624539989.378111,1624539989.429435,746.0
1624539989.386363,1624539989.427735,60.0
1624539989.411473,1624539989.411772,0.0
1624539989.499405,1624539989.541269,66.0
1624539990.049226,1624539990.049399,0.0
